rn,Date,name,category,hazards,tier,band
26-639,2026-07-23,Personalized Baby Bibs and Stroller Bags,Strollers & carriers,choking,3,ACT NOW
26-638,2026-07-23,CuddleCubs Creations Baby Highchair Teething Toy Sets,Feeding & high chairs,choking,3,ACT NOW
26-637,2026-07-23,OeyUoc Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-636,2026-07-23,Sviyatp Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-635,2026-07-23,Sili Factory Pull String Teething Toys,Toys,choking,3,ACT NOW
26-634,2026-07-23,Romorgniz 12-Drawer Fabric Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-633,2026-07-23,EnHomee 9-Drawer Fabric Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-630,2026-07-16,MNIENT Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|fall|laceration|suffocation,1,ACT NOW
26-629,2026-07-16,Cat & Jack Children's Sandals,Sleepwear & apparel,choking|fall,3,ACT NOW
26-628,2026-07-16,"SDADI Kitchen Step Stools, models LT01 and LT05",Nursery furniture & tip-over,entrapment|fall|tipover,1,ACT NOW
26-627,2026-07-16,Noerishia Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-623,2026-07-16,Space King No Girls Allowed Relic Lunch Boxes (Cups only),Feeding & high chairs,chemical|lead,3,ACT NOW
26-622,2026-07-16,Wade Logan Annyka 9-Drawer Fabric Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-620,2026-07-16,Boon PIVOT Collapsible Toddler Tower Kitchen Step Stools,Nursery furniture & tip-over,fall|tipover,2,ACT NOW
26-619,2026-07-16,Liizousuda Paint Thinner,Feeding & high chairs,chemical,4,ACT SOON
26-617,2026-07-16,Oitnlaughter LED Finger Lights,Toys,battery|burn,2,ACT NOW
26-609,2026-07-09,WonderStone Infant Walkers,"Walkers, swings & bouncers",fall,3,ACT NOW
26-608,2026-07-09,Moodooy Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-600,2026-07-02,Junpower CR2032 Batteries,Button cells & batteries,battery|burn,2,ACT NOW
26-598,2026-07-02,GigglescapeTM Under the Sea Popping Toy,Toys,choking,3,ACT NOW
26-596,2026-07-02,AMASKY Nursing Pillows,"Sleep — cribs, bassinets, loungers",suffocation,1,ACT NOW
26-594,2026-07-02,POPOOO Jungle Safari LED Finger Lights,Toys,battery|burn,2,ACT NOW
26-593,2026-07-02,CVS Health Medicated Hemorrhoidal Wipes,Personal care & medicine,chemical,4,ACT SOON
26-592,2026-07-02,Topyond Pool Drain Port with Cover,Bath & water safety,drowning|entrapment,1,ACT NOW
26-591,2026-07-02,VEVOR baby loungers,"Sleep — cribs, bassinets, loungers",entrapment|fall,1,ACT NOW
26-580,2026-06-25,Honlyne LED Party Favors,Button cells & batteries,battery|burn,2,ACT NOW
26-579,2026-06-25,Small Fish Montessori Busy Board Toys,Toys,chemical|magnet,2,ACT NOW
26-578,2026-06-25,Raychy Children's Light Sneakers Unisex,Button cells & batteries,battery|burn,2,ACT NOW
26-577,2026-06-25,MedPride Baby Oil,Feeding & high chairs,chemical,4,ACT SOON
26-507,2026-06-25,Kids Kithmas Plaid Lounge Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-569,2026-06-18,CooCooBaby Baby Loungers,"Sleep — cribs, bassinets, loungers",entrapment|fall|suffocation,1,ACT NOW
26-568,2026-06-18,Joolz Aer2 Car Seat Adapters for Joolz Aer 2 Stroller,Car seats & travel,fall,3,ACT NOW
26-567,2026-06-18,Michley Children's Pajamas,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-564,2026-06-18,Veseacky Pajama Sets,Sleepwear & apparel,burn,3,ACT NOW
26-562,2026-06-18,GOPO TOYS Pull String Teething Toys,Toys,choking,3,ACT NOW
26-561,2026-06-18,BABESIDE Doll and Stroller Toys,Strollers & carriers,choking,3,ACT NOW
26-563,2026-06-16,Arrogantf Spa Drain Covers,Outdoor & play equipment,drowning|entrapment,1,ACT NOW
26-555,2026-06-11,Houoto 642-2150V Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-554,2026-06-11,Girls' Sleepshirt and Kids' Unisex Jogger Pajama Sets,Sleepwear & apparel,burn|flammable,3,ACT NOW
26-552,2026-06-11,Hasuit 7-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-551,2026-06-11,Nimood Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|fall|laceration|suffocation,1,ACT NOW
26-543,2026-06-11,Hopelight Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|suffocation,1,ACT NOW
26-541,2026-06-11,Timechee Changing Table Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-540,2026-06-11,Plastic Tip Restraint Kits,Toys,entrapment|tipover,1,ACT NOW
26-538,2026-06-11,LiKee Pull String Teething Toys,Toys,choking,3,ACT NOW
26-536,2026-06-11,Sloosh Dive Sticks,Toys,fall,3,ACT NOW
26-530,2026-06-04,Boon NURSH 8 oz Reusable Baby Bottles,Feeding & high chairs,choking,3,ACT NOW
26-529,2026-06-04,Broqixin Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-527,2026-06-04,Crenlux Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-526,2026-06-04,Children's Tiny Land Play Tents,Outdoor & play equipment,,4,ACT SOON
26-525,2026-06-04,Little Grape Land Nursing Pillows,"Sleep — cribs, bassinets, loungers",suffocation,1,ACT NOW
26-522,2026-05-28,Mainstays 9-Drawer Fabric Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-515,2026-05-28,Anzmtosn Luminous Fidget Spinner Balls,Toys,battery|burn,2,ACT NOW
26-514,2026-05-28,"Misco Sports Light-Up Racket Sets, model MT2287",Toys,battery|burn,2,ACT NOW
26-510,2026-05-28,VL2020 Lithium Coin Batteries,Button cells & batteries,battery|burn,2,ACT NOW
26-509,2026-05-28,Zen Fidget Magnetic Ball Sets,Toys,chemical|magnet,2,ACT NOW
26-508,2026-05-28,MiniWarGaming and Primal Horizon Disc Magnets,Toys,chemical|magnet,2,ACT NOW
26-503,2026-05-21,WSDZ Light-up Shot Glasses,Button cells & batteries,battery|burn,2,ACT NOW
26-502,2026-05-21,Portable Hook-On Chairs,Feeding & high chairs,fall,3,ACT NOW
26-499,2026-05-21,Orb Funkee Squeeze Toys,Toys,asbestos,5,ACT SOON
26-497,2026-05-21,"Toy Headbands, Electronic Pet Cage-Dinosaur Tribes, My Pet Bird Cute Bird Tribes",Toys,battery|burn,2,ACT NOW
26-493,2026-05-14,Cosyland Children's Tower Stools,Nursery furniture & tip-over,entrapment|fall|tipover,1,ACT NOW
26-490,2026-05-14,Guidecraft Kitchen Helper Towers,Toys,fall,3,ACT NOW
26-487,2026-05-14,"Petzl SIMBA CLIMBING and SIMBA PARK Children's Harnesses, SWAN EASYFIT STEEL and SWAN EASYFIT STAINLESS Harnesses",Outdoor & play equipment,fall,3,ACT NOW
26-483,2026-05-14,Misco Sports Badminton Toy Sets Red/Blue MT2383,Toys,battery|burn,2,ACT NOW
26-484,2026-05-14,LiCB CR2032 3V Lithium Coin Batteries,Button cells & batteries,battery|burn,2,ACT NOW
26-481,2026-05-14,Tiyol Pull String Teething Toys,Toys,choking,3,ACT NOW
26-480,2026-05-14,Superbobi 7 3/8 Inch Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-477,2026-05-07,Youth Sweatshirts with Drawstrings,Sleepwear & apparel,entanglement|strangulation,1,ACT NOW
26-472,2026-05-07,Justforjoyful Rainbow Wall Toys,Toys,choking,3,ACT NOW
26-469,2026-05-07,Rublev Colours Gum Turpentine and Mineral Spirits Bottles,Feeding & high chairs,chemical,4,ACT SOON
26-468,2026-05-07,Svnntaa Bed Rails,"Gates, rails & childproofing",entrapment|fall|laceration|suffocation,1,ACT NOW
26-467,2026-05-07,Favoto Bike Helmets,Helmets & wheeled toys,crash|labeling,3,ACT NOW
26-466,2026-05-07,Various Battery-operated Light Up Toys,Toys,battery|burn,2,ACT NOW
26-465,2026-05-07,EEMB Lithium Battery Packs,Button cells & batteries,battery|burn,2,ACT NOW
26-457,2026-04-30,Build-A-Bear Workshop Heartwarming Hugs Bears,Toys,choking,3,ACT NOW
26-456,2026-04-30,Stephan Baby Boo Bunnie and Friends Children's Toys,Toys,choking|laceration,3,ACT NOW
26-455,2026-04-30,Travel Size Afrin® Original Nasal Spray 6 mL Bottles,Feeding & high chairs,chemical|labeling,4,ACT SOON
26-454,2026-04-30,Qumeney Bicycle Light Sets,Helmets & wheeled toys,battery|burn,2,ACT NOW
26-451,2026-04-30,Earthtec 7 3/8 Inch Pool Drain Covers,Bath & water safety,drowning|entrapment,1,ACT NOW
26-449,2026-04-30,Hepo Adult Portable Bed Rails,"Gates, rails & childproofing",entrapment|fall|laceration|suffocation,1,ACT NOW
26-448,2026-04-30,UHOMEPRO 5-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-447,2026-04-30,Malker Bicycle Light Sets,Helmets & wheeled toys,battery|burn,2,ACT NOW
26-446,2026-04-30,Segmart 4-Drawer Dressers,Nursery furniture & tip-over,entrapment|tipover,1,ACT NOW
26-445,2026-04-30,1-K Kerosene Heater Fluid Portable Fuel Containers,Household chemicals,burn|chemical|fire,3,ACT NOW
